Fototeny,sampateny
hotsohotso,mangotsohotso
hotsoka,"fangotsohana, fangotsohana, fangotsohana, mangotsoka, mangotsoka"
hotsoka,"angotsohana, fangotsongotsohana"
hotsoke,"fangotsoke, mampangotsoke, mampañotsoke, mangotsoke, mihotsoke, pangotsoke, pañotsoke, voahotsoke"
hotsokotsoka,"fangotsokotsohana, fangotsokotsoka, mangotsokotsoka"
hovihovy,"angovihoviana, fangovihovy, fangovihoviana, mangovihovy, mihovihovy"
hovingovitra,mangovingovitra
hovitra,hovitrovitra
hovitra,"angovitana, fangovitana, fangovitra, fihovitra, hovingovitra, mangovitra, mihovitra, mpangovitra"
hovitrovitra,"ahovitrovitra, fihovitrovitra, mihovitrovitra"
hovotra,hovotrovotra
hovotrovotra,"anovotrovotana, fanovotrovotana, fanovotrovotra, fihovotrovotana, fihovotrovotra, hovotrovotina, ihovotrovotana, mahahovotrovotra, manovotrovotra, mihovotrovotra, mpanovotrovotra, mpihovotrovotra, tafahovotrovotra, voahovotrovotra"
hozana,mihozana
hozangozana,"fihozangozana, fihozangozanana, mihozangozana"
hozatra,"hozatina, hozatrozatra, mahozatra, manozatra, mihozatra"
hozo,"fihozo, kihozo, mampañozo, mañozo, mifañozo, mihozo, pañozo, pifañozo, pihozo, voahozo"
hozohozo,"angozohozoana, fangozohozo, fangozohozoana, fihozohozo, fihozohozoana, ihozohozoana, mangozohozo, mihozohozo, mpangozohozo, mpihozohozo"
hozona,hozongozona
hozongozona,"ahozongozona, anozongozonana, fanozongozona, fanozongozonana, fihozongozona, fihozongozonana, hozongozonina, ihozongozonana, mahahozongozona, manozongozona, mihozongozona, mpanozongozona, mpihozongozona, voahozongozona"
haba,habaina
haba,mihaba
habahaba,mañabahaba
habahaba,"fihabahaba, fihabahabana, ihabahabana, mihabahaba, mpihabahaba"
habahaba,manabahaba
habaka,"habakabaka, mangabaka"
habakabaka,"fangabakabaka, mangabakabaka, mihabakabaka"
haboka,mangaboka
haboka,habokaboka
habokaboka,"ihabokabohana, mihabokaboka"
haboke,"mampihaboke, mihaboke, pihaboke"
hady,"angady, angadiana"
hady,"ahady, fangady, fihady, fihadiana, hadihady, hadina, ihadiana, mahahady, mahahadihady, mangady, mihady, mpihady, voahady"
hadia,"hadiatay, hadiavina"
hadihady,ihadihadiana
hadihady,"anadihadiana, fanadihady, fanadihadiana, hadihadina, mahadihady, mampanadihady, mampifanadihady, manadihady, mifanadihady, mihadihady, mpanadihady, voahadihady"
hadihady,"fangadihady, mangadihady"
hadina,mañadina
hadino,"anadinovana, hadinavina, hadinovina, halinavina, halinovina"
hadino,"anadinoana, fanadino, fanadinoana, hadinodino, hadinoina, mahahadino, mampanadino, mampifanadino, manadino, mifanadino, mpanadino, voahadino"
hadona,mangadona
hadotse,"ahadotse, fahadotse, mahahadotse, mampañadotse, mañadotse, mihadotse, pañadotse, pihadotse, voahadotse"
hadra,"hadrahadra, mampihadra, mifampihadra"
hadrahadra,"ahadrahadra, fihadrahadra, fihadrahadrana, ihadrahadrana, mahahadrahadra, mampihadrahadra, mifampihadrahadra, mihadrahadra, mpihadrahadra, tafahadrahadra"
hafa,"fifañahafa, fifanahafana, hafahafa, mahahafa, mihafa, pihafahafa"
hafahafa,"ahafahafa, fihafahafa, fihafahafana, hafahafaina, ihafahafana, mahahafahafa, mampihafahafa, mifampihafahafa, mihafahafa, mpihafahafa, tafahafahafa"
hafatra,"ahafatra, anafarana, fanafarana, fanafatra, hafarana, hafatrafatra, mahafatra, mahahafatra, mampanafatra, mampifanafatra, manafatra, mifanafatra, mpanafatra, voahafatra"
hafatse,"mampañafatse, mañafatse, mifañafatse, pañafatse, pifañafatse, voahafatse"
hafy,"ahafy, ampihafina, fihafy, fihafiana, hafihafy, hafina, ihafiana, mafy, mahahafy, mampihafy, mifampihafy, mihafy, mpihafy, pihafy, tafahafy, voahafy"
hafo,"mampihafo, pihafo"
hafoka,"hafokafoka, mangafoka"
hafokafo,mihafokafo
hafokafoka,"ahafokafoka, anafokafohana, manafokafoka, mangafokafoka"
hafotra,"anaforana, haforana, manafotra"
haga,"mihaga, mihaga"
haga,mihaga
hagahaga,"anagahagana, ihagahagana, managahaga, mihagahaga"
haha,"anahana, fanaha, fanahana, fihaha, fihahana, hahahaha, hahana, ihahana, mahahaha, mampanaha, mampifanaha, manaha, mifanaha, mihaha, mpanaha, voahaha"
haha,"pañaha, pihaha"
hahaka,"ahahaka, anahafana, fanahafana, fanahaka, fihahafana, fihahaka, hahafina, hahakahaka, ifanahafana, ihahafana, mahahahaka, mampanahaka, mampifanahaka, mampihahaka, manahaka, mifanahaka, mihahaka, mpanahaka, mpihahaka, tafahahaka, voahahaka"
hahakahaka,"fihahakahaka, mihahakahaka"
hahy,"ahahy, anahazana, fanahazana, fanahy, fihahazana, fihahy, hahazana, hahazana, hahihahy, ihahazana, mahahahy, manahy, mihahy, mpihahy, voahahy"
hahia,"ankahiazina, hahiazina"
haho,"angahoana, angahoina, mangaho"
hahohaho,"ahahohaho, manahohaho, mihahohaho, mihahohaho"
hahohaho,"fihahohaho, fihahohahoana, ihahohahoana, mahahahohaho, mampihahohaho, mifampihahohaho, mpihahohaho, tafahahohaho"
hay,"ankay, faheza, hahay, kihaihay, may, may, mampahay, mankahay, mifankahay, mihamahay, pahay"
hay,may
hay,mahay
hay,"ahaizana, fahay, fahaizana, haizina, mpahay"
haihay,"fangaihay, fihaihay, mampangaihay, mangaihay, mihaihay, mpangaihay, mpihaihay"
haihay,mahaihay
haika,"haihina, ihaihana, ihehana, manaika"
haika,"fihaika, fihaikana, haikaina, hehina, ihaikana, mampihaika, mangaika, mifampihaika, mihaika, mihaika, mpihaika, voahaika"
haikahaika,ihaikahaikana
haikahaika,"haikahaikaina, mihaikahaika"
haikaika,"fihaikaika, mihaikaika"
haina,"maina, maina"
haingana,"hainganahaingana, mahahaingana, manahaingana"
haingy,"haingihaingy, mihaingy, tafahaingy"
haingihaingy,"fihaingihaingy, mahahaingihaingy, mihaingihaingy, mpihaingihaingy, tafahaingihaingy"
haingo,"ampihaingoana, haingolava"
haingo,"ahaingo, fampihaingoana, fanaingo, fanaingoana, fihaingo, fihaingoana, haingohaingo, haingoina, ihaingoana, mahahaingo, mampihaingo, manaingo, mihaingo, mpihaingo, voahaingo"
haino,"ahaino, fihaino, fihainoana, hainohaino, hainoina, ihainoana, mahahaino, mampihaino, mifampihaino, mihaino, mpihaino, tafahaino, voahaino"
hainohaino,mihainohaino
haitantara,mpahaitantara
haitra,"haitraitra, mihaitra"
haitraitra,"ahaitraitra, fihaitrairana, fihaitraitra, haitrairina, ihaitrairana, mahahaitraitra, mihaitraitra, mpihaitraitra, voahaitraitra"
haja,"anajana, fanaja, fanajana, fifañaja, fihaja, hajaina, ifanajana, mampañaja, mampihaja, manaja, mifañaja, mihaja, mpanaja, mpihaja, pihaja, voahaja"
hajare,"mahahajare, mampañajare, mañajare, mihajare, pihajare, voahajare"
hajary,"mañajary, manajary, manajary"
hajary,"anajariana, fanajary, fanajariana, hajarina, mahajary, mampanajary, mampifanajary, mifanajary, mpanajary, voahajary"
hajo,"mampañajo, mañajo, pañajo"
haka,"mañaka, mihaka"
haka,"fangaka, fangaka, mangagaka, mangaka"
hakaka,mihakaka
hake,"fihaka, fihake, mahahake, mampihake, mihake, pihake"
hako,"hakohako, mampihako, mifampihako, mihako"
hakohako,"fihakobakoana, fihakohako, fihakohakoana, ihakohakoana, mahahakohako, mampihakohako, mifampihakohako, mihakohako, mpihakohako"
hala,ifankahalana
hala,"ankahalaina, ankahalana, fankahala, fankahalana, fifankahalalana, mañahala, manala, mankahala, mifañahala, mifankahala, mpankahala, voahala"
halady,"analadiana, fanalady, fanaladiana, haladina, mahahalady, manalady, mpanalady, voahalady"
halahala,"mihalahala, mihalahala"
halahala,"fangalahala, mangalahala"
halahala,ihalahalana
halaka,"analahana, halahina, manalaka, mihalaka, voahalaka"
halaka,"fihalahana, halakalaka, ihalahana, mampihalaka, mifampihalaka"
halakalaka,"analakalahana, fanalakalahana, fanalakalaka, fihalakalaka, halakalahina, mahahalakalaka, manalakalaka, mihalakalaka, mpihalakalaka, tafahalakalaka, voahalakalaka"
halala,"halalaina, mankahalala"
halamanjana,ankalamanjana
halana,"analanana, mahahalana, manalana"
halana,"ahalana, fihalana, fihalanana, halanana, halankalana, ihalanana, mahalana, mihalana, mpihalana, voahalana"
halangalana,halangalanana
halangalana,"analangalanana, fanalangalana, fanalangalanana, fihalangalana, fihalangalanana, halangalanina, ihalangalanana, manalangalana, mihalangalana, mpanalangalana, mpanalengalana, tafahalangalana, voahalangalana"
halankalana,mahalankalana
halatra,halavitina
halatra,"angalarana, angalarina, fangalarana, fangalarina, fangalatra, mangalatra, mpangalatra"
halatse,"mampangalatse, mangalatse, mifangalatse, pangalatse"
hale,"fangale, mahahale, mampañale, mampihale, mihale, mihamihale, pañale, pihale, voahale"
halino,"mañaliño, mifañaliño, pañaliño, pihaliño"
halo,"halohalo, mihalo, mihalo"
halo,"mampihalo, pihalo"
halohalo,"ahalohalo, fihalohalo, fihalohaloana, ihalohaloana, mihalohalo, mpihalohalo, tafahalohalo, voahalohalo"
halontralona,"fihalontralona, fihalontralonana, ihalontralonana, mihalontralona, mpihalontralona"
halôtra,"mañalôtra, mañalôtra"
halotra,"ahalotra, fihalorana, fihalotra, halorina, halotralotra, ihalorana, mahahalotra, mampihalotra, mifampihalotra, mihalotra, mpihalotra, voahalotra"
hamara,"fahamara, fahamarana"
hamatra,"anamarana, fanamarana, fanamatra, hamarana, hamarina, manamatra, mpanamatra, voahamatra"
hamba,"hambahamba, mampañamba, pañamba, voahamba"
hambahamba,"ahambahamba, anambahambana, fanambahamba, fanambahambana, fihambahamba, fihambahambana, hambahambaina, homambahamba, ihambahambana, manambahamba, mihambahamba, mpanambahamba, mpihambahamba, tafahambahamba, voahambahamba"
hambo,"fihambo, fihamboana, hambohambo, hamboina, ihamboana, mahahambo, mihambo, mpihambo, voahambo"
hambohambo,mihambohambo
hamena,hamenaina
hamy,"anamamiana, ankamamiana, fanamamiana, fankamamy, hamamina, mahahamy, mahamamy, manamy, mankamamy, mihamamy, mpankamamy"
hamy,"anamaniana, ankamamina, fanahamy, fankamamiana, hamamy, hamamiana, mamy, mampankahamy, mampifankahamy, mifankahamy, mpanahamy"
hamina,"fihamina, fihaminana, haminkamina, ihaminana, mahahamina, mihamina, mpihamina"
haminkamina,"fihaminkaminana, mihaminkamina"
haminkamina,fihaminkamina
hamo,pimamo
hamo,"hamohamo, mamo"
hamohamo,manamohamo
hamoka,"fihamohana, fihamoka, hamokamoka, ihamohana, mahahamoka, mihamoka, mpihamoka"
hamomoka,fahamomoka
hamory,"anamoriana, fanamory, fanamoriana, hamorina, manamory, mpanamory"
hampitra,"fihampitra, mihampitra"
hana,"fihana, fihana, ihanàna, mihana, mihana"
hana,"ampananana, ananana, fampananàna, fananana, fihanana, hanaina, mahahana, mampanana, mampihana, manana, mpampanàna, mpanàna, mpihana, tafahana, voahana"
hana,"hanina, hinana, homana"
hañahaña,"ampihañahaña, fahañahaña, fampihañahaña, mampihañahaña, pihañahaña, voahañahaña"
hanaka,"ahanaka, fihanahana, fihanaka, hanakanaka, ihanahana, mananaka, mihanaka, mpihanaka, tafahanaka, voahanaka"
hanana,"hananganana, manganana"
hananganana,mangananganana
hanankanana,"ahanankanana, fihanankanana, mampihanankanana, mihanankanana, tafahanankanana"
handatra,handatrandatra
handitra,"hamanditra, manditra"
handrina,"ahandrina, anandrinana, fanandrina, fanandrinana, fihandrina, fihandrinana, handrinina, ihandrinana, mahandrina, manandrina, manandrinkandrina, mihandrina, mpanandrina, mpihandrina, tafahandrina, voahandrina"
handrina,"handrikandrina, mampanandrina, mampifanandrina, mifanandrina"
handrina,handrinkandrina
handro,"fahandro, fahandro, handrony, nahandro"
handro,"ahandroana, ahandroina, andrahoana, andrahoina, fahandroana, fandrahoana, handrohandro, handroina, mahahandro, mahandro, mpahandro, nahandro, voahandro"
handro,mihandro
handrohandro,"ahandrohandro, fihandrohandro, fihandrohandroana, ihandrohandroana, mihandrohandro, mpihandrohandro, tafahandrohandro"
handrona,"ahandrony, fanandronana"
handrona,"ahandrona, ampihandronana, fampihandrona, fampihandronana, fihandrona, fihandronana, handronandrona, ihandronana, mahahandrona, mampihandrona, mihandrona, mpampihandrona, mpihandrona"
handrotra,"fandrotra, mifandrotra"
handrotra,"ahandrotra, famandrotra, fifandrotra, ifandrotana, mpifandrotra"
hane,"kihane, mahamane, mane"
hangitry,mangitry
hany,fohany
hanihany,kihanihany
hanihany,"ananihaniana, fananihany, fananihaniana, fanganihany, fihanihany, fihanihaniana, hanihanina, ihanihaniana, mahahanihany, mampihanihany, mananihany, manganihany, mifampihanihany, mihanihany, mpananihany, mpihanihany, tafahanihany, voahanihany"
hanina,fahamanina
hanina,"haninina, mahamanina, manina"
hanitra,voahanitra
hanitra,"anamanirana, fanamanirana, fanamanitra, hanirina, mahamanitra, manamanitra, manimanitra, manitra, mihamanitra, mpanamanitra"
hanitse,"mahamañitse, mañamañitse, mañitse, mihamañitse"
hanja,hanjahanja
hanjahanja,"ahanjahanja, fihanjahanja, fihanjahanjana, ihanjahanjana, mahahanjahanja, mihanjahanja, mpihanjahanja, tafahanjahanja, voahanjahanja"
hanjahanja,mananjahanja
hanjaka,"fihanjahana, mihanjaka"
hanjo,"mampihanjo, mihanjo, pihanjo"
hanohano,"fanganohano, fanganohanoana, mampanganohano"
hanohano,"anganohanoana, manganohano, mpanganohano"
hanta,mananta
hanta,"ahanta, ampihanta, ampihantaina, ampihantana, fampihanta, fampihantàna, fihanta, fihantana, hantahanta, hantaina, ihantana, mahahanta, mampihanta, mihamihanta, mihanta, mpampihanta, mpihanta, pihanta, tafahanta, voahanta"
hantahanta,mihantahanta
hantahanta,fihantahantana
hanto,"ahanto, fahanto, mahahanto, mampihanto, mihanto, pañanto, pihanto, voahanto"
hantona,"ampihantonana, mampihantona"
hantona,"ahantona, anantonana, fanantona, fanantonana, fihantona, fihantonana, hantonkantona, ihantonana, mahahantona, manantona, mihantona, mpanantona, mpihantona, tafahantona, voahantona"
hantoñe,"ahantoñe, hantokantoñe, mihantoñe"
hantsy,"ahantsy, fihantsy, fihantsiana, hamantsy, hantsihantsy, hantsina, ihantsiana, mahahantsy, mahamantsy, mampihantsy, manantsy, mifampihantsy, mihamantsy, mihantsy, mpihantsy, pimantsy, voahantsy"
hantsika,"ahantsika, anantsihana, fanantsihana, fanantsika, fihantsihana, fihantsika, hantsikantsika, ihantsihana, mahahantsika, manantsika, mihantsika, mpanantsika, mpihantsika, tafahantsika, voahantsika"
hantsina,"anantsinana, fanamantaina, manantsina"
hantsina,"anamantsinana, fanamantsinana, hantsinina, mahamantsina, manamantsina, mankamantsina, mantsimantaina, mantsina, mpanamantsina"
hao,"ahao, mampihao, mifampihao, mihao, pihao"
haody,"haodihaody, mihaody"
haody,haodiana
haodihaody,mampihaodihaody
haodihaody,"fihaodihaody, fihaodihaodiana, ihaodihaodiana, mahahaodihaody, mihaodihaody, mpihaodihaody"
haoka,"fangaoka, fangaoka, fangaoka, fangaoka"
haoka,"mangaoka, mpangaoka"
haoka,"haokaoka, mihaoka"
haokaoka,mihaokaoka
haolo,haolohaolo
haolohaolo,mihaolohaolo
haona,"ihaonana, mihaona, vaohaona"
haona,"ahaona, fihaona, fihaonana, haonkaona, mahahaona, mampihaona, mpihaona, tafahaona, voahaona"
haotra,ahaotra
haotra,"fihaorana, fihaotra, haorina, haotraotra, hatraorina, ihaorana, mihaotra, voahaotra"
haotraotra,"haotraorina, mihaotraotra"
haotry,mihaotry
haotse,"ahaotse, mahahaotse, mampihaotse, mañaotse, mifampihaotse, mifañaotse, mihaotse, pañaotse, pifampihaotse, pifañaotse, pihaotse, voahaotse"
hapakapaka,"hapakapahina, mihapakapaka"
hapintsana,"fahapintsana, hapintsampintsana"
hapoka,mihapoka
hara,harahara
haraby,manaraby
haraby,"anarabiana, fanaraby, fanarabiana, harabina, harabiraby, mahaharaby, mpanaraby, voaharaby"
harafana,karafana
harafesina,mihaharafesina
harafesina,"harafesenina, mahaharafesina"
harahara,mangarahara
harahara,miharahara
haraka,fiharaka
haraka,"angarahana, fangarahana, fangaraka, harahana, mahaharaka, mangaraka, mpangaraka, voaharaka"
haraka,"fiharahana, harahina, miharaka, mpiharaka"
haramaky,miharamaky
harana,"fiharana, fimiharana, manankarana, miankarana"
harana,"fiharanana, haranina, iharanana, miharana"
harana,mangarana
harangarana,fanarangarana
harangarana,"anarangaranana, fanarangaranana, harangaranina, mahaharangarana, manarangarana, mangarangarana, mpanarangarana, tafaharangarana, voaharangarana"
hararaotra,hararaotana
hararaotra,"anararaotana, fanararaotana, fanararaotra, hararaotina, manararaotra, voahararaotra"
hararaotse,"mampañararaotse, mañararaotse, pañararaotse"
hararetra,"fihararetra, mihararetra"
hararo,hararoana
hararo,"anararoana, fanararo, fanararoana, hararoina, manararo, mpanararo, voahararo"
harato,"haratoina, haratoina, manarato, manarato"
harato,"anaratoana, fanarato, fanaratoana, haratoana, haratovina, mahaharato, mpanarato, voaharato"
haratra,fanaratra
haratra,"aharatra, anaratana, fanaratana, fiharatana, harasana, haratana, iharatana, mahaharatra, manaratra, miharatra, mpanaratra, mpiharatra, voaharatra"
haratry,miharatry
haratsaka,"aharatsaka, anaratsahana, fanaratsahana, fanaratsaka, haratsadratsaka, haratsahana, karatsaka, mahaharatsaka, manaratsaka, mpanaratsaka, voaharatsaka"
haratse,"aharatse, mahaharatse, mampiharatse, mañaratse, mifañaratse, pañaratse, pifañaratse, piharatse, voaharatse"
haratsy,fampiharatsy
hare,"ampihare, mahahare, mampihare, mihare, pihare, voahare"
harendrina,"fanarendrina, manarendrina"
hary,"fihary, fihary, fihary, fihary, hinary, voahary"
hary,"fiharena, fihariana, harena, harina, ihariana, mahahary, mihary, mpihary"
harihary,"aharihary, ampiharihar&igrave;na, fiharihary, fiharihariana, iharihariana, mahaharihary, mampiharihary, miharihary, mpiharihary, tafaharihary, voaharihary"
harika,"angarihana, fangarihana, fangarika, harihina, harikarika, mahaharika, mangarika, mpangarika, voaharika"
harikivy,amparikivina
harina,"angarinana, fangarina, fangarinana, harinina, mangarina, mpangarina, voaharina"
harinarina,miharinarina
haringarina,miharingarina
haritra,miharitra
hariva,"fanarivàna, mihahariva, mihariva"
hariva,"ahariva, anarivana, fanariva, harivaina, harivàna, harivariva, mahahariva, manariva, mpanariva, takariva"
harivolo,miharivolo
haro,"faharo, fifangaro, haroñy, mampañaro, mampangaro, manaro, mangaro, mangaro, mihamiharo, mpifangaro, pangaro, pifangaro, piharo, tafaharo, vaoharo, vaoharo, voaharo"
haro,"aharo, angaroana, fangaro, fangaroana, fifangaroana, fiharo, fiharoana, haroana, haroharo, haroina, iharoana, mahaharo, miharo, mpiharo"
haroharo,"fangaroharo, mampiharoharo, mangaroharo"
haroka,"fangaroka, fangaroka, fiharohana"
haroka,"aharoka, angarofana, angarohana, fangarofana, fangarohana, fiharofana, fiharoka, harofana, harokaroka, iharofana, mahaharoka, mangaroka, miharoka, mpangaroka, mpiharoka, voaharoka"
harokaroka,"iharokarofana, miharokaroka"
haroke,"mampangaroke, mangaroke, pangaroke"
harona,"aharona, angaronana, fangarona, fangaronana, harongarona, haronina, mahaharona, mangarona, mpangarona, voaharona"
harongana,haronganina
hasy,"fahamasy, fañamasy, fañasy, hasia, mañamasy, pimasy"
hasihasy,"fangasihasy, fihasihasy, mangasihasy, mihasihasy, mpangasihasy"
hasina,"anamasinana, anasinana, anasinkasinana, ankamasinana, fanasina, fanasina, fanasina, fanasina, fanasina, fanasina, fanasinana, fankamasina, fihasinana, fihasinana, kamasina, manasina, manasina, manasina, manasinkasina, mpanasina, voamasina"
hasina,"ahasina, fankahasina, fihasina, hasinina, mahamasina, masina, mihasina, mpanahasina, voahasina"
hasina,"ahasina, mihasina, voahasina"
hasina,hasinkasina
hasinkasina,mihasinkasina
haso,pañaso
hasohaso,"ahasohaso, fanasohaso, fanasohasoana, mpanasohaso, voahasohaso"
hasohaso,mangasohaso
hasohaso,"anasohasoana, hasohasoina, manasohaso"
hatahitra,fahatahirana
hataka,"angatahana, angatahina, fangatahana, fangatahina, fangataka, hatakataka, mahahataka, mangataka, mpangataka, voahataka"
hataka,"ahataka, fihatahana, fihataka, hatahina, ihatahana, mihataka, mpihataka, tafahataka"
hatake,"ahatake, fahatake, mampangatake, mampihatake, mangatake, mihamihatake, mihatake, pangatake, pihatake, voahatake"
hate,"mampañate, mañate, mifañate, mihate, pañate, pifañate, pihate"
haty,"ahaty, mampañaty, pañaty, pifañaty, pihaty, voahaty"
hatikatika,mifanatikatika
hatina,hatenina
hato,mihato
hatoka,"anatohana, hatohina, manatoka, manatokatoka"
hatoka,hatokatoka
hatokatoka,"anatokatohana, mihatokatoka"
hatona,ifanatonana
hatona,"anatonana, fanatona, fanatonana, hatonatona, hatonina, mahahatona, manatona, mifanatona, mpanatona, tafahatona, voahatona"
hatra,"ampiharana, ampiharina, hatramy, manatra, mifanatra"
hatra,"ahatra, ankaharana, fampiharana, fankaharana, fankahatra, fiharana, fihatra, iharana, mampihatra, mankahatra, mifankahatra, mihatra, mpankahatra, tafahatra, voahatra"
